,0
0,"b'!!!' b'rt' b'mayasolovely:' b'as' b'a' b'woman' b'you' b""shouldn't"" b'complain' b'about' b'cleaning' b'up' b'your' b'house.' b'&amp;' b'as' b'a' b'man' b'you' b'should' b'always' b'take' b'the' b'trash'"
1,"b'""' b'momma' b'said' b'no' b'pussy' b'cats' b'inside' b'my' b'doghouse'"
2,b'addicted2guys:' b'-simplyaddictedtoguys' b'woof' b'woof' b'hot' b'scally'
3,b'allaboutmanfeet:' b'woof' b'woof' b'and' b'hot'
4,"b'allyhaaaaa:' b'lemmie' b'eat' b'a' b'oreo' b'&amp;' b'do' b'these' b'dishes.""' b'one' b'oreo?'"
5,"b'arizonasfinest6:' b'why' b'the' b'eggplant' b'emoji' b'doe?""y' b'he' b'say' b'she' b'looked' b'like' b'scream'"
6,b'babyanimalpics:' b'baby' b'monkey' b'bathtime' b'this' b'is' b'soooo'
7,"b'domworldpeace:' b'baseball' b'season' b'for' b'the' b'win.' b'#yankees""' b'this' b'is' b'where' b'the' b'love'"
8,"b'dunderbail:' b""i'm"" b'an' b'early' b'bird' b'and' b""i'm"" b'a' b'night' b'owl,' b'so' b""i'm"" b'wise' b'and' b'have'"
9,"b'edgarpixar:' b'overdosing' b'on' b'heavy' b'drugs' b""doesn't"" b'sound' b'bad' b'tonight.""' b'i' b'do' b'that' b'pussy' b'shit' b'every'"
10,b'el_grillo1:' b'pit' b'bulls' b'photographed' b'as' b'lovely' b'fairy' b'tale' b'creatures' b'*are*' b'fairy' b'tale'
11,"b'flokid88:' b'as' b'long' b'as' b'the' b'lakers' b'trash' b'from' b'now' b'on,' b'i' b'could' b'careless.' b'and' b""that's"" b'real."".' b'cc:' b'benballer'"
12,"b'funnypicsdepot:' b'this' b'the' b'""i' b'play' b'soccer,' b'cheat' b'on' b'girls,' b'and' b'wear' b'khaki' b'coloured' b'cargos""' b'haircut' b'&#128514;'"
13,"b'hermosaalma:' b'this' b""isn't"" b""ghetto.....it's"" b'smart' b""i'm"" b'doing' b'this'"
14,b'jreebo:' b'who' b'wants' b'to' b'get' b'there' b'nose' b'in' b'these' b'bad' b'bois' b'then' b'#scally' b'#chav' b'#sockfetish' b'#stinking' b'hot' b'sox' b'and'
15,"b'keyshawnswag:' b'peel' b'up' b'peel' b'up' b'bring' b'it' b'back' b'up' b'rewind' b'back' b'where' b""i'm"" b'from' b'they' b'move' b'shaq' b'from' b'the' b'line""' b'ooooow' b'who' b'tf' b'said' b'that'"
16,"b'knightfanneal' b'#ucfpinkparty' b'come' b'on' b'stay' b'alive' b'knights' b'nation!!!!""' b'this' b'is' b'still' b'the' b'early' b'bird'"
17,"b'mlbnetwork:' b'stay' b'tuned' b'to' b'mlbnetwork' b'for' b'an' b'update' b'on' b'the' b'report' b'that' b'yankees' b'1b' b'teixeiramark25' b'will' b'be' b'out' b'8-10' b'weeks""'"
18,"b'm_rad:' b'&#8220' b'dezdlt:' b'""i' b'play' b'soccer,' b'cheat' b'on' b'girls,' b'and' b'wear' b'khaki' b'coloured' b'cargos""' b'haircut' b'yes' b'lmfao'"
19,b'maxmayo77:' b'a' b'pissed' b'lad' b'past' b'out.' b'i' b'would' b'lick' b'his' b'dirty' b'soles' b'while' b'he'
20,b'maxmayo77:' b'love' b'frat' b'boy' b'w/' b'soft' b'long'
21,b'maxmayo77:' b'sexy' b'lad' b'with' b'hot' b'soles' b'and'
22,"b'mesha_nojas:' b'_vontethekidd' b'&#128079;&#128079;&#128079;&#128079;&#128588;""' b'i' b'got' b'hicks'"
23,"b'motherjones:' b'10' b'birds' b'your' b'grandkids' b'may' b'never' b'see,' b'thanks' b'to' b'climate'"
24,"b'osay_it_aint_so:' b'&#8220' b'ignorealllaws:' b'fosters' b'home' b'for' b'imaginary' b'trash&#8221;' b'whoa' b'chill""' b'that' b'show' b'was' b'everything'"
25,"b'quan1t0:' b'61%' b'of' b'welfare/government' b'aid' b'is' b'claimed' b'by' b'white' b'people.' b'so' b""y'all"" b'black' b'slander' b'is' b'trash'"
26,"b'rachiesoul:' b'dizzleofficial' b'inna' b'di' b'ghetto!!!""' b'you' b'alone'"
